department,class_group,class_subgroup,class_subsubgroup,class_id,class_number,class_champion,tochampion_id,class_title,class_description,session_id,program_order,program_order,age_min,age_max,trophy
Equine,English Riding,Junior,,c1130,1130,,,Pony Equitation Hunt for Saddleseat,,equine5,Wednesday,29,6,13,
Equine,English Riding,Junior,,c1131,,TRUE,,Champion Pony Equitation,,equine5,Wednesday,30,,,
Equine,English Riding,Junior,,c1133,1133,,,English Equitation Pony Walk/Trot,,equine5,Wednesday,31,5,9,
Equine,English Riding,Junior,,c1134,1134,,,Engligh Pleasure Pony Walk/Trot,,equine5,Wednesday,32,5,9,
Equine,English Riding,Junior,,c1135,1135,,,English Pleasure Ponies Hunt or Saddleseat,,equine5,Wednesday,33,6,13,
Equine,English Riding,Junior,,c1136,,TRUE,,Champion English Pony Pleasure,,equine5,Wednesday,34,,,
Equine,English Riding,Junior,,c1138,1138,,,Open Disciplined Rail - English,,equine5,Wednesday,35,,,
Equine,Hunting and Jumping,,,c1139,1139,,,"In Hand Jumping, Miniatures and Ponies under 50""",,equine5,Wednesday,36,7,20,
Equine,Hunting and Jumping,Intermediate,,c1142,1142,,,Sport Horse Suitability,,equine6,Wednesday,1,6,20,
Equine,Hunting and Jumping,Intermediate,,c1143,1143,,,Intermediate Working Hunter over Fences,,equine6,Wednesday,2,,,
Equine,Hunting and Jumping,Intermediate,,c1144,1144,,,Intermediate Working Hunter Equitation over Fences,,equine6,Wednesday,3,,,
Equine,Hunting and Jumping,Intermediate,,c1145,1145,,,Intermediate Working Hunter Equitation under Saddle,,equine6,Wednesday,4,,,
Equine,Hunting and Jumping,Intermediate,,c1146,1146,,,Medal Class,,equine6,Wednesday,5,,,
Equine,Hunting and Jumping,Intermediate,,c1147,,TRUE,,Champion Intermediate Working Hunter,,equine6,Wednesday,6,,,
Equine,Hunting and Jumping,Intermediate,,c1150,1150,,,Berrien County Youth Fair Jumper Class,Open to those who have competed and have been judged in either the Intermediate or Advanced Working Hunter Division at the BCYF.,equine6,Wednesday,7,,,
Equine,Hunting and Jumping,Intermediate,,c1151,,TRUE,,Champion BCYF Jumper,,equine6,Wednesday,8,,,
Equine,Hunting and Jumping,Beginner,,c1154,1154,,,Beginning Working Hunter over Fences,,equine6,Wednesday,9,,,
Equine,Hunting and Jumping,Beginner,,c1155,1155,,,Beginning Working Hunter Equitation over Fences,,equine6,Wednesday,10,,,
Equine,Hunting and Jumping,Beginner,,c1156,1156,,,Beginning Working Hunter Equitation under Saddle,,equine6,Wednesday,11,,,
Equine,Hunting and Jumping,Beginner,,c1157,1157,,,Beginning Working Hunter under Saddle,,equine6,Wednesday,12,,,
Equine,Hunting and Jumping,Beginner,,c1158,,TRUE,,Champion Beginning Working Hunter,,equine6,Wednesday,13,,,
Equine,Hunting and Jumping,Beginner,,c1160,1160,,,Beginner Jumper Class,Open to those who have copeted and been judged in the Beginner Hunter division in at least one over fence class in the current year's fair.,equine6,Wednesday,14,,,
Equine,Hunting and Jumping,Beginner,,c1161,,TRUE,,Champion Beginners Jumper Class,,equine6,Wednesday,15,,,
Equine,Hunting and Jumping,Crossrails,,c1165,1165,,,"Crossrail, Working Hunter",,equine6,Wednesday,16,,,
Equine,Hunting and Jumping,Crossrails,,c1166,1166,,,"Crossrail, Equitation over Fences",,equine6,Wednesday,17,,,
Equine,Hunting and Jumping,Crossrails,,c1167,1167,,,"Crossrail, Equittion under Saddle",,equine6,Wednesday,18,,,
Equine,Hunting and Jumping,Crossrails,,c1168,1168,,,"Crossrail, Working Hunter under Saddle",,equine6,Wednesday,19,,,
Equine,Hunting and Jumping,Crossrails,,c1169,,TRUE,,Champion Crossrails,,equine6,Wednesday,20,,,
Equine,Hunting and Jumping,Ground Pole,,c1171,1171,,,Poles Working Hunter,,equine6,Wednesday,21,,,
Equine,Hunting and Jumping,Ground Pole,,c1172,1172,,,Poles Equitation over Fences,,equine6,Wednesday,22,,,
Equine,Hunting and Jumping,Ground Pole,,c1173,1173,,,Poles Equitation under Saddle,,equine6,Wednesday,23,,,
Equine,Hunting and Jumping,Ground Pole,,c1174,1174,,,Poles Working Hunter under Saddle,,equine6,Wednesday,24,,,
Equine,Hunting and Jumping,Ground Pole,,c1175,,TRUE,,Champion Ground Poles,,equine6,Wednesday,25,,,
Equine,Western Riding,Senior,,c1177,1177,,,"Western Horsemanship, Horses and Ponies",,equine7,Thursday,1,14,15,
Equine,Western Riding,Senior,,c1178,1178,,,"Western Horsemanship, Horses and Ponies",,equine7,Thursday,2,16,17,
Equine,Western Riding,Senior,,c1179,1179,,,"Western Horsemanship, Horses and Ponies",,equine7,Thursday,3,18,20,
Equine,Western Riding,Senior,,c1180,1180,,,"Western Horsemanship, Horses and Ponies Walk/Trot",,equine7,Thursday,4,14,20,
Equine,Western Riding,Senior,,c1181,,TRUE,,Senior Champion Western Horsemanship,,equine7,Thursday,5,,,
Equine,Western Riding,Senior,,c1183,1183,,,Ranch Riding Pleasure,,equine7,Thursday,6,14,20,
Equine,Western Riding,Senior,,c1184,1184,,,"Junior Horse Western Pleasure, Horses and Ponies 5 Years and Under",,equine7,Thursday,7,10,20,
Equine,Western Riding,Senior,,c1185,1185,,,Registered AQHA Western Pleasure,,equine7,Thursday,8,14,20,
Equine,Western Riding,Senior,,c1186,1186,,,Registered Western Pleasure Horses and Ponies,,equine7,Thursday,9,14,20,
Equine,Western Riding,Senior,,c1187,1187,,,Non-Registered Western Pleasure Horses and Ponies,,equine7,Thursday,10,14,20,
Equine,Western Riding,Senior,,c1188,1188,,,"Western Pleasure Horses and Ponies, Fine or Gaited (Morgans, Arabs, Half-Arabs, and Gaited)",,equine7,Thursday,11,14,20,
Equine,Western Riding,Senior,,c1189,1189,,,Western Pleasure Horses and Ponies Walk/Trot,,equine7,Thursday,12,14,20,
Equine,Western Riding,Senior,,c1190,,TRUE,,Senior Champion Western Pleasure HOrse,,equine7,Thursday,13,,,
Equine,Western Riding,,,c1192,,TRUE,,Grand Champion Overall Western Horsemanship,,equine7,Thursday,14,,,
